Pressure,x,y,z
0.0,6.496066670186073,17.53149376434837,10.613218500116632
3000.0,6.496066670186073,17.53149376434837,10.613218500116632
6000.0,6.496066670186073,17.53149376434837,10.613218500116632
9000.0,6.496074887748115,17.531588946744257,10.614261437662316
12000.0,6.496098414884447,17.531748056387983,10.61616110817194
15000.0,6.49613951518191,17.5320077709691,10.61881281546866
15000.0,6.496207622614286,17.532477321328834,10.622294480794883
12000.0,6.496300949684131,17.53314513461245,10.626049993896943
9000.0,6.496421836905003,17.534208699306202,10.629714711108194
6000.0,6.496559349572614,17.535772438515266,10.633090478091601
3000.0,6.496705021637131,17.537850536207415,10.636044218108276
0.0,6.496849316831483,17.54039844947211,10.638452762009397
